C , D, I, T, label
2.2230233e-07,1.2067419e-05,3.2405654e-07,3.336111e-05,0
1.228666e-07,9.670508e-06,5.4890995e-07,3.3558143e-05,0
1.0192057e-06,0.00011108292,4.9570076e-07,3.2420503e-05,0
1.8110909e-07,8.047848e-06,5.145347e-07,3.396358e-05,0
2.0428404e-07,5.2855034e-06,6.685315e-07,3.121221e-05,0
5.045625e-07,2.522126e-05,1.0105226e-07,2.9729112e-05,0
1.9613157e-07,6.1018227e-06,2.8645005e-07,3.2203112e-05,0
5.127463e-07,1.637118e-05,6.9888995e-07,3.0805993e-05,0
2.9709014e-07,7.4313335e-05,2.7516387e-07,3.2202224e-05,0
3.1458637e-07,3.766079e-05,2.544107e-07,3.3697484e-05,0
3.3921896e-07,1.8566403e-05,9.978812e-07,3.0878462e-05,0
4.0515488e-07,9.0491994e-05,2.3246152e-07,3.2925604e-05,0
5.3929654e-07,0.00014940483,1.645004e-07,3.2985095e-05,0
5.5698325e-07,0.00024120888,2.2323286e-07,3.4825855e-05,0
6.913223e-07,0.00021196135,3.5498581e-07,3.2941025e-05,0
2.9279704e-07,0.00012978184,7.5919365e-07,3.2491876e-05,0
6.9937e-07,9.607457e-06,1.2620637e-07,3.322623e-05,0
3.2023686e-07,1.0782542e-05,3.6999242e-07,3.630626e-05,0
3.0776502e-07,1.529164e-05,1.94585e-06,8.63052e-05,0
3.174298e-07,0.00092164834,1.4235578e-06,9.205875e-05,0
2.2256029e-07,1.5187304e-05,9.862612e-07,9.427284e-05,0
6.8505136e-07,0.00010311166,7.313583e-07,9.987393e-05,0
3.3018526e-07,1.1972713e-05,5.9578038e-06,9.628036e-05,0
2.176256e-07,1.193515e-05,2.3036987e-06,0.00010586095,0
1.7897213e-07,1.8906874e-05,1.389917e-06,0.00011231869,0
1.1889109e-07,4.835731e-06,7.0994174e-06,0.00011539549,0
2.5059643e-07,5.0679457e-05,1.1031967e-05,9.988478e-05,0
1.2577742e-07,6.47533e-05,8.470891e-06,0.00010202591,0
1.6309282e-07,9.727621e-05,4.5929937e-07,8.693379e-05,0
1.0871889e-07,1.7392775e-05,9.164498e-07,0.00011237128,0
3.2669814e-07,0.00019216044,2.512296e-06,9.834959e-05,0
2.0274881e-07,3.857533e-05,1.154499e-05,9.8880606e-05,0
2.2598083e-07,1.5200387e-05,8.117972e-07,0.00011109267,0
8.983473e-08,6.920196e-05,4.523189e-06,9.157055e-05,0
2.076915e-07,6.12586e-05,2.9078947e-06,0.00010443906,0
9.109326e-08,2.732905e-05,4.5532758e-07,9.067727e-05,0
3.2575826e-07,9.279363e-05,4.6756878e-07,0.00010396589,0
9.4884555e-08,1.1047949e-05,9.4316665e-06,9.2243805e-05,0
4.6662885e-07,5.550089e-05,2.991775e-06,9.921989e-05,0
5.7370386e-07,5.6505047e-05,1.922476e-06,8.4951724e-05,0
8.590476e-07,6.467446e-06,3.842153e-06,0.000104342405,0
1.601181e-07,6.356522e-05,1.1165829e-06,0.00010959196,0
4.050436e-07,2.2601394e-05,5.5721184e-06,9.880691e-05,0
2.7630537e-07,1.2565285e-05,3.3205258e-06,0.0001036099,0
3.3431323e-07,1.1146805e-05,2.733946e-07,0.000114401315,0
9.783508e-07,1.9993418e-05,2.5258567e-05,0.00014447448,0
1.2837697e-07,3.2029915e-05,4.783922e-07,0.00010690785,0
5.7777186e-07,3.3027147e-05,0.00015843048,0.00013047324,0
2.4685696e-07,0.00010005915,5.8768933e-06,0.00010658243,0
1.5300462e-07,6.433434e-06,5.620386e-06,0.00011617651,0
1.3395743e-07,2.893618e-05,1.0998174e-05,0.00011062605,0
3.7279366e-07,0.00010106217,4.156917e-06,0.000108986256,0
2.4254217e-07,0.00013468238,3.7271438e-06,9.5691736e-05,0
2.1969882e-07,1.0105945e-05,6.286011e-06,0.0001004399,0
4.5597287e-07,4.8160477e-05,4.8385505e-07,0.00011676714,0
5.448721e-07,2.5496682e-05,2.0433424e-06,0.000111321715,0
2.3566332e-07,2.8882174e-05,1.9827241e-06,0.0001056383,0
2.2791421e-07,1.9705543e-05,8.066428e-07,9.44212e-05,0
3.515538e-07,2.6512329e-05,9.3313577e-07,9.2798575e-05,0
2.4874328e-07,1.1872993e-05,2.789126e-07,9.375403e-05,0
2.5264498e-07,0.00015607491,4.7474717e-07,9.588182e-05,0
3.742249e-07,4.8649872e-05,7.251286e-07,9.521505e-05,0
1.5553375e-07,6.173579e-05,5.264046e-07,0.00010215286,0
2.0881221e-07,9.89436e-06,1.3911011e-06,0.000108838154,0
2.730038e-07,1.1950628e-05,8.286425e-07,0.00010528651,0
2.1362486e-07,2.8447399e-05,2.290843e-06,0.00010075041,0
2.8378537e-07,0.00013271315,7.269621e-07,9.621659e-05,0
3.6421315e-07,2.9364615e-05,3.590675e-07,9.514535e-05,0
2.225692e-05,2.6734842e-05,1.1660605e-08,2.9675066e-05,0
2.0234338e-05,2.5819914e-05,5.3363564e-08,2.9619907e-05,0
4.291547e-05,2.6243422e-05,5.226927e-08,3.0288515e-05,0
1.3597861e-05,1.0241417e-05,2.3991584e-08,2.9726985e-05,0
5.2774376e-05,1.1848687e-05,1.2109065e-07,2.8259345e-05,0
2.1016524e-05,7.474181e-05,1.4760952e-08,2.8936372e-05,0
1.9387004e-05,2.8669605e-05,2.0761798e-08,2.790728e-05,0
6.70416e-05,1.816393e-05,4.793297e-08,2.8916897e-05,0
5.3928383e-05,7.5872704e-06,1.5506597e-08,2.8184633e-05,0
8.1116326e-05,1.5496076e-05,3.2890892e-08,2.9139801e-05,0
4.5304325e-05,1.321371e-05,1.0316136e-07,2.8380633e-05,0
7.453484e-05,1.3560758e-05,1.7205923e-07,2.8856844e-05,0
2.1788073e-05,2.0463498e-05,2.9160118e-08,3.0023079e-05,0
4.1591025e-05,2.8989736e-05,3.958125e-08,2.8469654e-05,0
1.36193e-05,1.3403655e-05,3.2171016e-07,2.8045746e-05,0
5.9674658e-05,1.5430986e-05,2.4093202e-08,2.9094983e-05,0
7.874216e-05,4.6335e-07,5.6746416e-08,2.8245253e-05,0
0.00044500668,1.3283847e-05,4.0291614e-08,2.876826e-05,0
2.2641994e-05,0.00010244033,1.2430009e-07,2.8410504e-05,0
7.407561e-05,5.895069e-06,1.03076786e-07,2.8202914e-05,0
2.5870935e-05,1.4540927e-05,1.6663483e-07,2.87704e-05,0
2.5999772e-05,1.0136108e-05,4.4136954e-08,2.6884458e-05,0
2.249727e-05,1.4365177e-05,6.3467326e-08,2.7902675e-05,0
1.2323946e-05,1.1185055e-05,1.5546686e-07,2.9401572e-05,0
2.3849772e-05,1.1648627e-05,1.0688199e-07,2.8136212e-05,0
3.5280806e-05,2.1586548e-05,4.3609933e-08,2.7713833e-05,0
1.7818034e-05,3.2067965e-05,9.314681e-08,2.7709817e-05,0
9.7640805e-05,3.8206148e-05,7.566589e-08,2.8206787e-05,0
1.398923e-05,2.5821066e-06,3.6210427e-08,2.663717e-05,0
6.0505943e-05,9.382433e-06,1.2769813e-08,2.7852508e-05,0
7.6402284e-05,2.8445336e-05,3.9950967e-07,2.7588472e-05,0
3.968625e-05,3.1829602e-06,1.2786417e-07,2.7628437e-05,0
0.000121127116,2.4108038e-05,3.5019585e-08,2.7045488e-05,0
8.87847e-05,6.342561e-06,6.274107e-08,2.6851612e-05,0
9.096735e-06,1.7455603e-05,1.4556489e-08,2.962496e-05,0
0.00013552455,1.2380311e-05,8.840976e-08,2.7913029e-05,0
9.007602e-06,1.5953074e-05,3.8663757e-08,2.7173044e-05,0
3.4210858e-05,1.3141376e-05,3.118951e-08,2.6914471e-05,0
3.7788104e-05,2.8589488e-06,1.8840336e-08,2.6866468e-05,0
1.5022613e-05,1.1377142e-05,4.4588884e-08,2.7300317e-05,0
3.0922518e-05,2.167992e-05,6.7257574e-08,2.6900872e-05,0
6.1851344e-05,2.2790195e-05,4.510244e-08,2.6912983e-05,0
7.440232e-05,2.7471879e-05,4.544647e-08,2.696709e-05,0
3.844093e-05,1.909469e-05,4.7226756e-08,2.6879385e-05,0
5.473367e-05,5.117902e-05,3.3744232e-08,2.7606866e-05,0
3.359314e-05,3.0486206e-05,1.9466985e-07,2.9430834e-05,0
8.258051e-05,1.0875372e-05,4.396228e-08,2.9060928e-05,0
1.42741055e-05,1.0853935e-05,4.4146976e-08,2.850046e-05,0
1.8395658e-05,1.5545129e-05,6.7594776e-08,2.8520553e-05,0
4.0771763e-05,4.0187864e-05,1.9824508e-07,2.9020055e-05,0
7.0948616e-09,0.00010844541,1.9449966e-05,4.5835885e-05,0
1.1666856e-08,0.00016150145,1.6524584e-06,4.5977242e-05,0
1.0924954e-08,5.0181614e-05,1.2942127e-06,4.4421613e-05,0
5.3680203e-09,0.000108926826,2.4951619e-06,4.309308e-05,0
3.835247e-09,0.00014123388,1.0996559e-05,4.5884866e-05,0
5.5330136e-09,7.3084666e-05,1.1698653e-06,4.5689736e-05,0
6.480134e-09,0.0006272141,2.5383347e-06,4.460436e-05,0
5.699164e-09,0.00016395001,6.9839816e-06,4.5245044e-05,0
7.335423e-09,0.00027224547,4.5183174e-06,4.1626347e-05,0
8.438271e-09,0.00014638004,1.3543986e-06,4.3021802e-05,0
6.2833974e-09,0.00026415702,2.6743965e-06,4.5421773e-05,0
7.0129262e-09,0.0003038137,2.5184296e-05,4.5535227e-05,0
8.333681e-09,0.00019288425,1.9170935e-07,4.6500645e-05,0
6.1985372e-09,0.00026773463,1.2504904e-05,4.0982224e-05,0
6.2646577e-09,0.0011613115,3.0119263e-06,4.328848e-05,0
6.262603e-09,0.00019776421,7.702527e-06,4.5981713e-05,0
5.434302e-09,0.00018440351,4.479745e-06,4.8017857e-05,0
5.475493e-09,0.0001114158,1.0208808e-05,4.5834702e-05,0
4.622204e-09,0.0013770045,7.0338992e-06,4.2882493e-05,0
5.2921e-09,0.0017223671,7.4611407e-06,4.269496e-05,0
7.362827e-09,0.00060425856,2.392572e-07,4.112983e-05,0
5.707725e-09,8.426399e-05,4.254153e-05,4.3318134e-05,0
6.692904e-09,0.00033884376,2.7468247e-06,4.6084042e-05,0
6.656392e-09,0.00025174208,1.2541058e-06,4.9018516e-05,0
5.073584e-09,0.0002276844,2.0285338e-06,4.599724e-05,0
4.9985567e-09,0.0012936742,3.84418e-07,4.5276032e-05,0
6.218704e-09,0.00025325053,1.4907977e-06,4.3952834e-05,0
4.0077905e-09,0.00096901215,2.288967e-06,4.562729e-05,0
5.955779e-09,0.0010891521,2.048472e-06,4.308947e-05,0
8.917862e-09,0.0026212637,4.65405e-06,4.04932e-05,0
6.1789542e-09,0.0005405358,5.3303115e-06,4.08376e-05,0
4.8136712e-09,0.000115666284,1.5018126e-06,4.2221276e-05,0
6.130729e-09,0.00047955773,1.6430049e-05,4.3101056e-05,0
5.4017293e-09,0.0005959706,8.7486205e-07,4.6734083e-05,0
6.142082e-09,5.3760115e-05,1.60668e-06,4.3824675e-05,0
6.0812675e-09,0.001305376,5.494863e-06,4.3494012e-05,0
6.3067387e-09,0.0013221595,6.6698994e-06,4.7217127e-05,0
6.063281e-09,0.00028205692,4.7493104e-06,4.3011216e-05,0
7.159719e-09,0.0003091794,1.0017944e-05,4.3000513e-05,0
3.6043721e-09,0.0002948115,1.8873064e-06,4.2750893e-05,0
3.2725234e-09,6.793104e-05,5.263085e-06,4.483837e-05,0
7.013421e-09,0.00017527163,4.743471e-07,4.7563844e-05,0
6.0202856e-09,8.8710745e-05,3.9650686e-06,4.3723987e-05,0
3.183785e-09,0.00017653377,5.1094943e-05,4.504378e-05,0
4.194676e-09,0.00047198488,3.881556e-06,4.1876105e-05,0
5.4535527e-09,0.00018378194,1.5278868e-06,4.534595e-05,0
4.160819e-09,9.1671456e-05,4.5990837e-05,5.2149724e-05,0
7.5368565e-09,0.00015319399,7.6448214e-07,4.7387995e-05,0
8.032573e-09,0.00010142595,9.559526e-07,5.2063853e-05,0
5.0551345e-09,0.00014280148,5.5091245e-06,4.366644e-05,0
5.0952707e-08,9.3829635e-07,1.7053763e-06,2.2583921e-05,0
3.1087712e-08,2.3873713e-06,3.9829385e-07,2.3298262e-05,0
4.036492e-08,8.713253e-06,3.1104464e-06,2.2777938e-05,0
1.9361686e-08,2.5583188e-06,3.5599678e-05,2.3322402e-05,0
2.3740764e-08,1.9789197e-05,1.626948e-06,2.2876444e-05,0
2.1909413e-07,7.717703e-06,2.2760644e-07,2.2556329e-05,0
2.0796244e-07,3.3709705e-06,1.7406461e-06,2.353578e-05,0
3.1605506e-07,2.5798274e-06,1.8454642e-06,2.3180624e-05,0
7.30779e-08,4.2471347e-06,4.4459607e-06,2.3019898e-05,0
9.316173e-08,1.560953e-06,1.8115285e-05,2.301498e-05,0
6.675568e-08,2.664008e-06,7.013637e-06,2.3482153e-05,0
5.7317507e-08,2.34838e-06,3.7706716e-06,2.3036984e-05,0
1.9135204e-08,1.0819826e-06,2.490241e-06,2.3936016e-05,0
4.803979e-07,3.278459e-06,5.137549e-06,2.3572662e-05,0
2.647674e-07,1.5102634e-06,7.5842655e-07,2.3448898e-05,0
8.16656e-08,5.800299e-06,9.672131e-06,2.362742e-05,0
1.5158376e-07,3.2211155e-06,1.2833061e-06,2.2914415e-05,0
1.1011862e-07,3.4264071e-06,1.1681863e-06,2.2808958e-05,0
1.2039848e-07,4.4436974e-06,6.634871e-07,2.3153098e-05,0
7.697452e-08,1.6421136e-06,3.94813e-06,2.3038214e-05,0
1.555585e-05,8.858166e-06,1.0782274e-05,2.3565311e-05,0
2.360313e-07,5.5924284e-06,1.3902591e-06,2.3220293e-05,0
1.06698465e-07,1.3945041e-06,7.247414e-07,2.2892093e-05,0
2.5590204e-08,2.3575285e-06,1.7834544e-06,2.3391009e-05,0
5.0659867e-07,5.9698446e-06,6.8836775e-06,2.3726161e-05,0
4.6060566e-07,7.92549e-06,2.775273e-06,2.4148188e-05,0
3.0574532e-07,1.744041e-05,7.184649e-05,2.3863218e-05,0
8.1644396e-07,1.8740324e-05,9.0586705e-05,2.3693827e-05,0
6.3689276e-06,1.8530285e-05,0.00016608361,2.4256182e-05,0
4.9965947e-06,9.536075e-06,1.3474246e-05,2.3800718e-05,0
1.798471e-06,9.606028e-06,5.4787047e-06,2.3192299e-05,0
1.5928325e-05,1.7182754e-05,3.9480287e-06,2.3559043e-05,0
7.188676e-07,6.0355674e-06,3.468063e-06,2.3595154e-05,0
1.5214265e-07,1.2229824e-05,1.7032359e-06,2.3803465e-05,0
7.218189e-08,1.0234592e-06,2.4587607e-06,2.3151331e-05,0
2.082538e-07,1.8971969e-05,4.7431135e-07,2.3309818e-05,0
1.6348213e-07,5.2289697e-06,4.1189833e-07,2.3669343e-05,0
5.211438e-07,2.4054161e-05,6.96156e-06,2.367885e-05,0
5.963625e-08,1.069502e-05,5.1701574e-07,2.3462542e-05,0
2.5167128e-05,4.9803198e-06,4.1067316e-05,2.3285957e-05,0
1.2203851e-07,2.0684959e-06,3.881175e-06,2.3420875e-05,0
6.002264e-08,2.7214878e-06,3.6999559e-06,2.3505141e-05,0
2.881825e-08,3.7394163e-06,4.376196e-07,2.3187742e-05,0
4.7409245e-08,3.0836015e-06,3.0544181e-06,2.364843e-05,0
5.6177697e-08,9.2945794e-07,2.0870004e-05,2.359538e-05,0
1.4719371e-08,2.0417979e-06,8.99494e-07,2.3185534e-05,0
4.020249e-08,2.1109047e-06,3.4999698e-06,2.3379413e-05,0
1.07158336e-08,7.653279e-06,1.3357744e-06,2.3186793e-05,0
1.7430345e-08,6.661559e-06,7.7887574e-07,2.278637e-05,0
3.0588665e-06,1.9861285e-05,1.8798052e-06,2.2670927e-05,0
1.4122484e-05,6.5017564e-05,1.0104066e-05,0.00021636595,0
1.1121312e-05,1.192309e-05,2.1590131e-05,0.00024273199,0
1.4271316e-05,3.8152666e-05,2.0934109e-05,0.0003867051,0
1.7368922e-05,1.7270515e-05,5.1931856e-05,0.0003945512,0
7.3305973e-06,2.2189295e-05,8.505197e-06,0.00031867027,0
1.2198446e-05,1.39135645e-05,0.0002695205,0.0004191845,0
3.7237063e-05,1.2715217e-05,0.00015903758,0.00020333972,0
6.3473594e-06,1.2042967e-05,5.830244e-05,0.00027262725,0
1.0010056e-05,1.1963524e-05,0.00013515337,0.00048726366,0
8.760805e-06,2.0650563e-05,2.313321e-05,0.00039723903,0
3.340285e-05,9.99978e-06,0.0001245911,0.00024930478,0
4.9009494e-05,7.836615e-06,0.00028113043,0.00027887625,0
5.01761e-06,1.5209435e-05,3.6348007e-05,0.0003364524,0
1.0683053e-05,8.682073e-06,9.086486e-05,0.0001920575,0
1.4326243e-05,1.7517788e-05,0.000115471106,0.00042065582,0
7.904514e-06,2.6848104e-05,8.888122e-06,0.00036340518,0
3.2690885e-05,8.488157e-06,3.095258e-05,0.0005180293,0
9.562631e-06,1.1140876e-05,4.1746916e-05,0.0004465301,0
2.366756e-05,5.13157e-06,6.9640696e-06,0.0003676402,0
2.0696065e-05,1.0717769e-05,5.5391014e-05,0.00035330062,0
9.632256e-06,6.1849746e-06,6.238513e-05,0.00045721023,0
1.3188015e-05,5.99234e-05,8.254603e-05,0.0003129576,0
1.5099138e-05,4.099399e-05,0.00011886922,0.00039509695,0
2.1522166e-05,3.2432286e-05,9.263994e-06,0.00029173226,0
1.1692981e-05,9.634837e-06,1.3447904e-05,0.00095958234,0
3.7691116e-05,1.5545085e-05,3.959216e-05,0.0005736467,0
1.1718713e-05,8.745854e-06,2.975282e-05,0.0005102076,0
8.93927e-06,3.3694014e-05,2.8019733e-05,0.00046205954,0
2.3837018e-05,2.2530077e-05,1.060647e-05,0.00038710123,0
1.8870382e-05,3.6441717e-05,3.0349926e-05,0.00030443037,0
2.69656e-05,1.3814259e-05,0.0006660425,0.0003807449,0
1.0918227e-05,1.578029e-05,2.422553e-05,0.0006055367,0
7.670714e-06,0.00010687645,0.0003321559,0.0007225017,0
7.617976e-06,2.8807159e-05,8.380539e-05,0.00048079516,0
2.0229707e-05,1.8068906e-05,6.250762e-05,0.00048388136,0
1.6146618e-05,1.5663629e-05,0.00010524053,0.0005059878,0
1.2693398e-05,9.647567e-05,1.1969824e-05,0.0004413244,0
3.3285032e-05,1.774708e-05,7.828321e-05,0.0005158427,0
6.1278724e-06,3.784296e-05,1.3852966e-05,0.00056237215,0
1.0956968e-05,2.279215e-05,2.0828387e-05,0.0008510383,0
1.1308797e-05,0.0012210337,0.00014994002,0.00083220954,0
2.4576246e-05,2.6351961e-05,0.00052898057,0.0005518879,0
2.4629271e-05,2.5030147e-05,3.6420384e-05,0.00076709356,0
0.0038225858,7.114654e-06,3.05658e-05,0.0012271432,0
1.5292864e-05,2.0153244e-05,0.000114173,0.00093539833,0
4.328804e-06,3.094756e-05,8.499537e-06,0.00020918566,0
1.013492e-05,1.4067357e-05,5.630243e-05,0.0003997103,0
7.4779023e-06,6.8814984e-06,3.7221085e-05,0.00028062295,0
1.0018642e-05,1.8333501e-05,9.58395e-06,0.00025108765,0
3.5390898e-05,1.8160586e-05,4.660315e-05,0.0002630592,0
0.00010959122,0.00021304269,2.719365e-08,6.1554325e-05,0
0.00013898688,1.9288065e-05,2.9232066e-08,6.0364113e-05,0
0.00033513538,4.4837e-05,2.0133928e-08,5.2911142e-05,0
0.0007155723,3.7354435e-05,1.332635e-07,5.766155e-05,0
0.00020606694,3.0016952e-05,4.5249955e-08,5.4990393e-05,0
1.4920913e-05,1.2081479e-05,4.4588035e-08,5.8560043e-05,0
0.00044147443,7.301326e-05,1.05937616e-07,7.037316e-05,0
0.0001450137,6.4568376e-05,9.1308436e-08,5.898571e-05,0
0.0009016147,3.6632275e-05,1.3557293e-07,6.9409696e-05,0
0.0002290933,5.1512958e-05,1.0507692e-07,7.936499e-05,0
0.00018929387,6.363715e-05,1.9812369e-08,5.783695e-05,0
5.8135218e-05,3.9947296e-05,1.02842314e-07,4.7935642e-05,0
0.00043674765,4.762248e-05,2.2825137e-07,4.9839236e-05,0
0.00021076004,3.696506e-05,5.329893e-07,4.6357276e-05,0
0.0001322876,9.582917e-05,5.477501e-08,4.4301978e-05,0
9.591894e-05,3.4254706e-05,2.7661903e-08,4.481511e-05,0
9.006696e-05,8.9574736e-05,9.868334e-08,4.6267316e-05,0
0.00010599792,5.1056468e-05,3.561682e-08,4.4698252e-05,0
8.834461e-05,2.5509986e-05,3.528294e-08,4.404892e-05,0
0.00018169753,9.116871e-05,1.383266e-08,4.4251057e-05,0
0.00043775252,0.00016364233,6.118302e-08,4.634322e-05,0
0.00020074332,0.0028954246,1.3810588e-07,4.7327572e-05,0
0.00021578826,0.0012794045,9.208217e-08,5.186574e-05,0
8.631681e-05,5.4287455e-05,2.771297e-08,5.0567793e-05,0
0.000104344595,2.7376913e-05,2.318248e-07,5.2048268e-05,0
2.888099e-05,2.9475184e-05,1.5697113e-07,5.772526e-05,0
2.5794001e-05,0.00011488637,2.5785745e-08,8.0168385e-05,0
0.00030212625,0.0014070369,1.2439733e-07,6.1334526e-05,0
6.4410386e-05,0.00037072785,4.1806206e-08,8.829147e-05,0
7.570532e-05,0.0007390336,1.08013246e-07,6.4679734e-05,0
6.353061e-05,0.0016723282,8.106807e-09,5.1984578e-05,0
8.114596e-05,3.0749987e-05,3.9694275e-08,6.0914852e-05,0
7.546947e-05,3.399495e-05,1.463547e-08,4.8680176e-05,0
4.2066822e-05,0.00036969644,1.00309286e-07,5.9755526e-05,0
0.0003115088,4.8541846e-05,9.324689e-08,4.4808614e-05,0
5.6822126e-05,0.00040002036,1.5880625e-08,4.3834327e-05,0
7.6461976e-05,0.00010890459,1.6273571e-08,4.34642e-05,0
4.6039637e-05,5.0403425e-05,3.7319772e-08,4.3971235e-05,0
6.9573565e-05,0.00016893781,2.7083809e-08,4.8926515e-05,0
